COD_ETU;Note : TLGE1104;Résultat : TLGE1104;Session : TLGE1104;Année : TLGE1104;Note : TLGE1204;Résultat : TLGE1204;Session : TLGE1204;Année : TLGE1204;Note : TLGE1304;Résultat : TLGE1304;Session : TLGE1304;Année : TLGE1304;Note : TLGE1404;Résultat : TLGE1404;Session : TLGE1404;Année : TLGE1404;Note : TLGE1504;Résultat : TLGE1504;Session : TLGE1504;Année : TLGE1504;Note : TLGE1604;Résultat : TLGE1604;Session : TLGE1604;Année : TLGE1604;Note : TLGE1004;Résultat : TLGE1004;Session : TLGE1004;Année : TLGE1004;Note : TLGE2104;Résultat : TLGE2104;Session : TLGE2104;Année : TLGE2104;Note : TLGE2204;Résultat : TLGE2204;Session : TLGE2204;Année : TLGE2204;Note : TLGE2304;Résultat : TLGE2304;Session : TLGE2304;Année : TLGE2304;Note : TLGE2404;Résultat : TLGE2404;Session : TLGE2404;Année : TLGE2404;Note : TLGE2504;Résultat : TLGE2504;Session : TLGE2504;Année : TLGE2504;Note : TLGE2604;Résultat : TLGE2604;Session : TLGE2604;Année : TLGE2604;Note : TLGE2004;Résultat : TLGE2004;Session : TLGE2004;Année : TLGE2004
10010055;10;V;1;2012;10;V;1;2012;10;V;1;2013;13;V;1;2011;10;V;1;2010;10;V;1;2010;10.75;V;1;2012;10;V;2;2013;10;V;2;2013;10;V;1;2013;13;V;1;2011;0;NRA;1;2015;11.1;V;1;2010;9 017;NV;2;2015
10048488;7;AC;2;2013;7;AC;2;2013;;;;;16;V;1;2011;10;V;1;2011;10;V;1;2011;10.75;V;2;2013;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;16;V;1;2011;10;V;2;2014;11.75;V;1;2012;9 625;NV;2;2015
10048648;7.5;AC;1;2012;7.5;AC;1;2012;;;;;13;V;1;2011;12.48;V;1;2012;11.7;V;1;2011;11.17;V;1;2012;10;V;2;2014;1.6;NRA;1;2015;0;NRA;1;2015;13;V;1;2011;10;V;2;2013;10.5;V;1;2011;7 517;NV;2;2015
10048683;7;AC;2;2013;7;AC;2;2013;;;;;10;V;1;2011;12.6;V;1;2011;10.4;V;1;2011;10;V;2;2013;10;V;1;2013;10;V;1;2013;3;NRA;1;2015;10;V;1;2011;10.04;V;1;2012;10;V;1;2011;8.84;NV;2;2015
10048707;7;AC;2;2013;7;AC;2;2013;;;;;10;V;1;2011;12.9;V;1;2012;10.1;V;1;2011;10;V;2;2013;5.5;NV;2;2015;1.1;NRA;1;2015;.8;NRA;1;2015;10;V;1;2011;10;V;2;2014;12;V;1;2014;6 567;NV;2;2015
10048722;8.12;AC;2;2013;8.12;AC;2;2013;;;;;10;V;1;2011;11.88;V;1;2012;10;V;1;2011;10;V;2;2013;0;NRA;1;2015;5.08;NV;2;2015;.8;NRA;1;2015;10;V;1;2011;10;V;2;2014;10;V;1;2011;5.98;NV;2;2015
10048752;10;V;2;2013;10;V;2;2013;;;;;10;V;1;2012;10;V;2;2013;10;V;1;2011;10;V;2;2013;10.05;V;1;2012;10.05;V;1;2012;0;NRA;1;2015;10;V;1;2012;0;NRA;1;2015;10;V;1;2011;6 683;NV;2;2015
10048754;10;V;2;2014;11.5;V;1;2014;10;V;1;2012;2.85;NRA;1;2015;10.43;V;1;2012;12.15;V;1;2011;9 488;NV;2;2015;10.6;V;1;2013;10.6;V;1;2013;10;V;1;2012;;;;;9.09;AC;2;2013;11.2;V;1;2012;10 223;V;2;2013
11011891;2.2;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;10.25;V;1;2011;13.3;V;1;2012;5 958;NV;2;2015;10;V;1;2012;10;V;1;2012;10;V;1;2011;;;;;10;V;1;2012;15.6;V;1;2011;11.4;V;1;2012
11012531;7;AC;2;2013;7;AC;2;2013;;;;;15.6;V;1;2011;10.68;V;1;2011;11.25;V;1;2011;11 133;V;2;2013;10.1;V;1;2012;10.1;V;1;2012;0;NRA;1;2015;15.6;V;1;2011;5 021;NV;2;2015;10.95;V;1;2011;8 629;NV;2;2015
11012544;7;AC;2;2013;7;AC;2;2013;;;;;10.5;V;1;2011;11.5;V;1;2011;11;V;1;2011;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.5;V;1;2011;10;V;1;2012;10;V;1;2011;5 083;NV;2;2015
11012552;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.13;V;1;2011;13.1;V;1;2011;3 872;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;15 225;V;1;2011;5 871;NV;2;2015
11013302;0;NRA;1;2015;0;NRA;1;2015;1.2;NRA;1;2015;.6;NRA;1;2015;15.98;V;1;2012;10.1;V;1;2011;4 647;NV;2;2015;10;V;2;2013;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.05;V;1;2011;5 008;NV;2;2015
11013318;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;10.5;V;1;2011;0;NRA;1;2015;3 417;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;1 667;NV;2;2015
11013346;8.37;AC;1;2012;8.37;AC;1;2012;10;V;2;2013;12.5;V;1;2011;11;V;1;2011;10.8;V;1;2011;10 668;V;1;2012;11.6;V;1;2013;11.6;V;1;2013;10;V;2;2013;12.5;V;1;2011;0;NRA;1;2015;11.95;V;1;2011;9 608;NV;2;2015
11013349;7;AC;2;2013;7;AC;2;2013;;;;;10.29;V;1;2011;15.5;V;1;2013;12.2;V;1;2011;11 248;V;2;2013;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;10.29;V;1;2011;7.7;NV;2;2015;10.7;V;1;2011;8 115;NV;2;2015
11013510;10;V;1;2012;10;V;1;2012;;;;;10;V;1;2011;10;V;1;2012;11;V;1;2011;10.25;V;1;2012;10;V;2;2013;10;V;2;2013;2.4;NRA;1;2015;10;V;1;2011;10;V;1;2012;11.25;V;1;2011;8 942;NV;2;2015
12009157;10;V;1;2012;10;V;1;2012;;;;;10.25;V;1;2012;13.95;V;1;2012;12.7;V;1;2012;11 725;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.25;V;1;2012;0;NRA;1;2015;10.3;V;1;2012;3 425;NV;2;2015
12010889;9.8;AC;2;2014;11.15;V;1;2014;7.5;AC;2;2014;9.5;AC;2;2014;10 375;V;1;2013;12.25;V;1;2013;10 096;V;2;2014;10;V;1;2013;10;V;1;2013;6.2;NV;2;2015;.6;NRA;1;2015;10;V;2;2013;12;V;1;2013;8 133;NV;2;2015
12011023;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2012;13.55;V;1;2012;3 925;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2012;13.4;V;1;2012;7 233;NV;2;2015
12011025;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;12.3;V;1;2012;2.05;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;10.04;V;1;2012;11;V;1;2012;6.84;NV;2;2015
12011032;10;V;1;2012;10;V;1;2012;;;;;7;AC;1;2012;10.75;V;1;2012;12.7;V;1;2012;10 113;V;1;2012;10;V;1;2012;10;V;1;2012;3.2;NRA;1;2015;7;AC;1;2012;10;V;1;2012;12.1;V;1;2012;8 717;NV;2;2015
12011046;.825;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.138;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;3 333;NV;2;2015
12011049;10;V;2;2013;10;V;2;2013;;;;;8.8;AC;2;2013;10;V;1;2013;11.2;V;1;2013;10;V;2;2013;10.05;V;1;2012;10.05;V;1;2012;.8;NRA;1;2015;8.8;AC;2;2013;0;NRA;1;2015;10;V;2;2013;6 617;NV;2;2015
12011056;14;V;1;2013;14;V;1;2013;;;;;10.25;V;1;2013;16.75;V;1;2013;10.2;V;1;2012;12.8;V;1;2013;15.2;V;1;2013;15.2;V;1;2013;8;AC;2;2015;10.25;V;1;2013;10;V;2;2013;11.8;V;1;2012;11 742;V;2;2015
12011174;0;NRA;1;2015;0;NRA;1;2015;.3;NRA;1;2015;0;NRA;1;2015;7;NV;2;2015;10;V;1;2012;2 883;NV;2;2015;.8;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.133;NV;2;2015
12011188;7;AC;2;2013;7;AC;2;2013;;;;;10;V;1;2013;14;V;1;2013;10;V;1;2012;10.25;V;2;2013;10;V;1;2013;10;V;1;2013;.3;NRA;1;2015;10;V;1;2013;10;V;2;2013;10;V;1;2012;8 383;NV;2;2015
;7.5;AC;2;2014;9;AC;2;2014;15.75;V;1;2014;10;V;1;2012;12 875;V;1;2013;11.2;V;1;2012;11 054;V;2;2014;10;V;1;2014;9.3;AC;2;2014;10.5;V;1;2014;10;V;1;2012;10;V;1;2012;10.2;V;1;2012;10;V;2;2014
12011202;6.5;NV;2;2015;.8;NRA;1;2015;3.1;NRA;1;2015;4.2;NRA;1;2015;13.75;V;1;2013;12.25;V;1;2012;6 767;NV;2;2015;10;V;2;2013;10;V;2;2013;1.8;NRA;1;2015;0;NRA;1;2015;10;V;2;2013;10.65;V;1;2012;7 075;NV;2;2015
12011234;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
12011268;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;13 375;V;1;2013;14.9;V;1;2013;4 713;NV;2;2015;12;V;1;2013;12;V;1;2013;0;NRA;1;2015;0;NRA;1;2015;10;V;2;2013;14.25;V;1;2013;8 042;NV;2;2015
12011270;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2012;1 667;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2012;1 667;NV;2;2015
12011289;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2013;13.4;V;1;2013;3.9;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
12011305;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.25;V;1;2013;12.6;V;1;2012;3 808;NV;2;2015;10;V;2;2013;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;3 333;NV;2;2015
12011306;7.5;AC;2;2014;10.65;V;1;2014;11;V;1;2014;10;V;1;2014;16;V;1;2012;10;V;1;2012;10 858;V;2;2014;10;V;2;2013;10;V;2;2013;10;V;2;2015;10;V;2;2014;10;V;2;2014;10;V;1;2012;10;V;2;2015
12011309;3 536;NRA;1;2015;0;NRA;1;2015;10.25;V;1;2014;10;V;1;2012;10.1;V;1;2012;11.5;V;1;2012;7 564;NV;2;2015;10;V;1;2013;10;V;1;2013;7;NV;2;2015;10;V;1;2012;10;V;2;2014;12.6;V;1;2012;9 933;NV;2;2015
12011317;0;NRA;1;2015;10;V;2;2014;0;NRA;1;2015;0;NRA;1;2015;11.65;V;1;2012;10.4;V;1;2012;5 342;NV;2;2015;0;NRA;1;2015;10;V;2;2014;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.02;V;1;2013;3 337;NV;2;2015
12011394;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;11;V;1;2013;10.15;V;1;2012;3 525;NV;2;2015;10;V;2;2013;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.9;V;1;2012;5.15;NV;2;2015
12011399;4 675;NRA;1;2015;1;NRA;1;2015;10;V;2;2014;10;V;2;2013;11.75;V;1;2013;10.1;V;1;2012;7 921;NV;2;2015;0;NRA;1;2015;5;NV;2;2015;1.4;NRA;1;2015;10;V;2;2013;10;V;1;2012;10.75;V;1;2013;6 192;NV;2;2015
12011407;9.9;AC;2;2013;9.9;AC;2;2013;;;;;7;AC;1;2013;10;V;2;2013;13.1;V;1;2012;10;V;2;2013;10.53;V;1;2012;10.53;V;1;2012;0;NRA;1;2015;7;AC;1;2013;10.06;V;1;2012;12.8;V;1;2012;8 487;NV;2;2015
12012919;10;V;1;2012;10;V;1;2012;;;;;7;AC;1;2013;17.38;V;1;2013;14.2;V;1;2012;12 145;V;2;2013;10;V;1;2012;10;V;1;2012;2.3;NRA;1;2015;7;AC;1;2013;8 025;;2;2015;14.4;V;1;2012;8 621;NV;2;2015
12012921;8.7;AC;2;2013;8.7;AC;2;2013;;;;;10.5;V;2;2013;10;V;1;2012;13.8;V;1;2012;10.75;V;2;2013;10;V;2;2013;10;V;2;2013;7;AC;2;2015;10.5;V;2;2013;10;V;2;2013;12.5;V;1;2012;10;V;2;2015
13012497;9;AC;2;2014;10.05;V;1;2014;11.25;V;1;2014;7;AC;2;2014;14.75;V;1;2013;11.45;V;1;2013;10 583;V;2;2014;10.2;V;1;2013;10.2;V;1;2013;10;V;2;2014;7;AC;2;2015;10;V;2;2013;12.95;V;1;2013;10 058;V;2;2015
13012870;5 002;NV;2;2015;1.8;NRA;1;2015;7;AC;2;2013;8;AC;1;2015;10 825;V;1;2013;13.95;V;1;2013;7 763;NV;2;2015;12.2;V;1;2013;12.2;V;1;2013;7;AC;2;2013;;;;;10;V;2;2013;13.25;V;1;2013;10 613;V;2;2013
13013133;10 191;V;1;2015;9.2;AC;2;2015;8.3;AC;2;2015;10;V;2;2015;10 375;V;1;2013;15;V;1;2013;10 511;V;2;2015;10;V;1;2014;10.54;V;1;2015;10;V;2;2015;3.8;NRA;1;2015;10 495;V;1;2015;12.6;V;1;2013;9 573;NV;2;2015
