COD_ETU;Note : TLBC2104;Résultat : TLBC2104;Session : TLBC2104;Année : TLBC2104;Note : TLBC2204;Résultat : TLBC2204;Session : TLBC2204;Année : TLBC2204;Note : TLBC2304;Résultat : TLBC2304;Session : TLBC2304;Année : TLBC2304;Note : TLBC2404;Résultat : TLBC2404;Session : TLBC2404;Année : TLBC2404;Note : TLBC2504;Résultat : TLBC2504;Session : TLBC2504;Année : TLBC2504;Note : TLBC2604;Résultat : TLBC2604;Session : TLBC2604;Année : TLBC2604;Note : TLBC2004;Résultat : TLBC2004;Session : TLBC2004;Année : TLBC2004;Note : TLBC1104;Résultat : TLBC1104;Session : TLBC1104;Année : TLBC1104;Note : TLBC1204;Résultat : TLBC1204;Session : TLBC1204;Année : TLBC1204;Note : TLBC1304;Résultat : TLBC1304;Session : TLBC1304;Année : TLBC1304;Note : TLBC1404;Résultat : TLBC1404;Session : TLBC1404;Année : TLBC1404;Note : TLBC1504;Résultat : TLBC1504;Session : TLBC1504;Année : TLBC1504;Note : TLBC1604;Résultat : TLBC1604;Session : TLBC1604;Année : TLBC1604;Note : TLBC1004;Résultat : TLBC1004;Session : TLBC1004;Année : TLBC1004
9007198;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;11.7;V;1;2009;1.95;NV;2;2015
10048467;0;NRA;1;2015;7.2;AC;1;2011;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;13.6;V;1;2011;3 467;;2;2015;9.7;AC;1;2011;7.2;AC;1;2011;;;;;;;;;;;;;14.3;V;1;2011;10.3;V;1;2011
10048490;0;NRA;1;2015;7;AC;2;2013;0;NRA;1;2015;10;V;1;2012;0;NRA;1;2015;14.1;V;1;2011;5 183;;2;2015;10;V;1;2011;7;AC;2;2013;10;V;1;2012;10;V;1;2012;;;;;13.45;V;1;2011;10 178;V;2;2013
10048675;0;NRA;1;2015;7;AC;1;2013;0;NRA;1;2015;10;V;2;2013;0;NRA;1;2015;10.08;V;1;2011;4 513;;2;2015;10;V;1;2011;7;AC;1;2013;;;;;10;V;2;2013;;;;;10.7;V;1;2011;10 145;V;2;2013
11010373;0;NRA;1;2015;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.7;V;1;2012;3.45;;2;2015;10;V;2;2013;10;V;2;2013;10;V;1;2012;;;;;;;;;10;V;1;2012;10;V;2;2013
11011713;10;V;2;2014;10.7;V;1;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;11 025;V;1;2011;5 288;;2;2015;10;V;1;2012;10.7;V;1;2013;10.08;V;1;2012;;;;;;;;;10;V;1;2012;10;V;2;2013
11012797;13 162;V;1;2012;10.4;V;1;2011;10;V;2;2013;10;V;2;2015;10;V;1;2011;0;NRA;1;2015;8 927;;2;2015;15.8;V;1;2013;10.4;V;1;2011;10;V;1;2011;10;V;2;2013;10;V;1;2011;12.5;V;1;2013;12 758;V;2;2013
11012827;10;V;2;2014;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;12.4;V;1;2011;3 733;;2;2015;0;NRA;1;2015;0;NRA;1;2015;2.2;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10.8;V;1;2012;2 167;NV;2;2015
11013259;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;11.55;V;1;2011;3 592;;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;12.5;V;1;2011;3.75;NV;2;2015
11013282;0;NRA;1;2015;7;AC;2;2013;11 375;V;1;2013;10;V;2;2013;10;V;1;2012;10;V;1;2012;8 063;;2;2015;14.5;V;1;2013;7;AC;2;2013;;;;;10;V;2;2013;10;V;1;2012;10.4;V;1;2012;11 188;V;2;2013
