COD_ETU;Note : TLBC3104;Résultat : TLBC3104;Session : TLBC3104;Année : TLBC3104;Note : TLBC3204;Résultat : TLBC3204;Session : TLBC3204;Année : TLBC3204;Note : TLBC3304;Résultat : TLBC3304;Session : TLBC3304;Année : TLBC3304;Note : TLBC3404;Résultat : TLBC3404;Session : TLBC3404;Année : TLBC3404;Note : TLBC3504;Résultat : TLBC3504;Session : TLBC3504;Année : TLBC3504;Note : TLBC3604;Résultat : TLBC3604;Session : TLBC3604;Année : TLBC3604;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;Note : TLBC4104;Résultat : TLBC4104;Session : TLBC4104;Année : TLBC4104;Note : TLBC4204;Résultat : TLBC4204;Session : TLBC4204;Année : TLBC4204;Note : TLBC4304;Résultat : TLBC4304;Session : TLBC4304;Année : TLBC4304;Note : TLBC4404;Résultat : TLBC4404;Session : TLBC4404;Année : TLBC4404;Note : TLBC4504;Résultat : TLBC4504;Session : TLBC4504;Année : TLBC4504;Note : TLBC4604;Résultat : TLBC4604;Session : TLBC4604;Année : TLBC4604;Note : TLBC4004;Résultat : TLBC4004;Session : TLBC4004;Année : TLBC4004
20001394;10;V;2;2021;10;V;2;2021;11.95;V;1;2021;14.5;V;1;2021;10;V;1;2021;10;V;1;2021;11 075;V;2;2021;17;V;1;2021;10;V;2;2021;17;V;1;2021;11.5;V;1;2021;12.75;V;1;2021;12;V;1;2021;13 375;V;2;2021
20001486;10;V;2;2021;10;V;2;2021;8.15;AC;2;2021;15;V;1;2021;7;AC;2;2021;10;V;2;2021;10 025;V;2;2021;16;V;1;2021;7.75;AC;2;2021;9.4;AC;2;2021;8;AC;2;2021;11.5;V;1;2021;11.85;V;1;2021;10.75;V;2;2021
20001488;3 925;NV;2;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;;;;;1;2021
20001616;13.33;V;1;2021;10 938;V;1;2021;15.95;V;1;2021;19;V;1;2021;19;V;1;2021;19;V;1;2021;16 203;V;1;2021;19;V;1;2021;11.85;V;1;2021;16.5;V;1;2021;11.5;V;1;2021;13;V;1;2021;16;V;1;2021;14 642;V;1;2021
20001621;10;V;2;2021;18.5;V;1;2021;8.5;AC;2;2021;14.5;V;1;2021;16.5;V;1;2021;19.5;V;1;2021;14 583;V;2;2021;18;V;1;2021;12.6;V;1;2021;15.5;V;1;2021;12;V;1;2021;11;V;1;2021;11.85;V;1;2021;13 492;V;1;2021
20001685;10;V;2;2021;10.8;V;1;2021;10.85;V;1;2021;4.5;NV;2;2021;1.5;NV;2;2021;10;V;2;2021;7 942;NV;2;2021;10;V;2;2021;8 337;AC;2;2021;11.5;V;1;2021;10;V;1;2021;11.25;V;1;2021;13;V;1;2021;10 681;V;2;2021
20001690;10;V;2;2021;10;V;2;2021;9.05;AC;2;2021;9.25;AC;2;2021;7.5;AC;2;2021;10;V;2;2021;9.3;AC;2;2021;17;V;1;2021;8.85;AC;2;2021;10;V;2;2021;9.5;AC;2;2021;10;V;2;2021;11.5;V;1;2021;11 142;V;2;2021
20001692;10;V;2;2021;10;V;2;2021;12.1;V;1;2021;13.5;V;1;2021;10;V;1;2021;17;V;1;2021;12.1;V;2;2021;18;V;1;2021;9.35;AC;2;2021;13 875;V;1;2021;13;V;1;2021;14.5;V;1;2021;13;V;1;2021;13 621;V;2;2021
20001698;;;;;7.17;NV;2;2021;10;V;2;2021;9;NV;2;2021;;;;;;;;;;;1;2021;12;V;1;2021;10;V;2;2021;10;V;2;2021;10;V;1;2021;10;V;2;2021;12.5;V;1;2021;10.75;V;2;2021
20001700;11 375;V;1;2021;10;V;2;2021;11.05;V;1;2021;7;AC;2;2021;8;AC;2;2021;17;V;1;2021;10 738;V;2;2021;16;V;1;2021;10;V;2;2021;12.5;V;1;2021;10;V;1;2021;16;V;1;2021;12;V;1;2021;12.75;V;2;2021
20001707;11.5;V;1;2021;12.5;V;1;2021;13.45;V;1;2021;19;V;1;2021;16;V;1;2021;16.5;V;1;2021;14 825;V;1;2021;20;V;1;2021;10.45;V;1;2021;11.3;V;1;2021;10;V;1;2021;15.5;V;1;2021;15.5;V;1;2021;13 792;V;1;2021
20001712;8.5;NV;2;2021;6.77;NV;2;2021;10.8;V;1;2021;9;NV;2;2021;7;NV;2;2021;8;NV;2;2021;8 345;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
20001721;10;V;2;2021;10;V;2;2021;11 425;V;1;2021;10;V;2;2021;4.5;NV;2;2021;10.5;V;1;2021;9 404;NV;2;2021;13;V;1;2021;5.83;NV;2;2021;11 875;V;1;2021;12.5;V;1;2021;14.5;V;1;2021;13;V;1;2021;11 784;NV;2;2021
20001724;12;V;1;2021;10;V;2;2021;12.95;V;1;2021;15;V;1;2021;10;V;2;2021;14.5;V;1;2021;12 408;V;2;2021;12;V;1;2021;11.7;V;1;2021;10.75;V;1;2021;15;V;1;2021;12;V;1;2021;15;V;1;2021;12 742;V;1;2021
20001761;12 625;V;1;2021;10.8;V;1;2021;14.15;V;1;2021;10.5;V;1;2021;10;V;1;2021;15;V;1;2021;12 179;V;1;2021;14;V;1;2021;12 275;V;1;2021;14 625;V;1;2021;14.5;V;1;2021;10.75;V;1;2021;17;V;1;2021;13 858;V;1;2021
