COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
15000272;12.1;V;1;2017;10.3;V;1;2017;10;V;1;2020;11;V;1;2017;18.25;V;1;2017;10;V;2;2015;11 942;V;1;2020;10;V;2;2015;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.2;V;1;2015;11 875;V;1;2015;5 679;NV;2;2021
15002395;0;NRA;1;2021;10;V;2;2016;0;NRA;1;2021;12.8;V;1;2016;11;V;1;2016;10;V;1;2015;7.3;NV;2;2021;12.15;V;1;2015;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2015;10.1;V;1;2016;10;V;2;2015;7 042;NV;2;2021
15003217;10;V;1;2016;10;V;2;2016;8;AC;2;2016;12.6;V;1;2016;10;V;2;2016;10;V;2;2015;10.1;V;2;2016;11.75;V;1;2015;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;11.7;V;1;2016;13.5;V;1;2016;7 825;NV;2;2021
16000767;10.15;V;1;2017;8;AC;2;2017;10;V;2;2017;10.4;V;1;2016;15;V;1;2016;12.5;V;1;2016;11 008;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2016;11.75;V;1;2016;3 625;NV;2;2021
16000914;10.35;V;1;2017;10;V;2;2017;10 025;V;1;2017;10.2;V;1;2016;10;V;1;2016;0;NRA;1;2021;8 429;NV;2;2021;10;V;2;2017;11.25;V;1;2018;12.2;V;1;2018;10;V;1;2018;10;V;2;2016;10;V;2;2016;10 575;V;1;2018
17003807;0;NRA;1;2021;0;NRA;1;2021;10.1;V;1;2018;10;V;2;2018;10;V;1;2017;10;V;2;2017;6 683;NV;2;2021;10;V;2;2017;0;NRA;1;2021;10;V;1;2018;0;NRA;1;2021;10;V;2;2018;10 375;V;1;2017;6 729;NV;2;2021
17005077;10.1;V;1;2017;10;V;2;2017;0;NRA;1;2021;10;V;2;2018;12;V;1;2017;10;V;1;2017;8 683;NV;2;2021;12.3;V;1;2017;7;AC;2;2017;10;V;2;2017;8.6;AC;2;2017;12.7;V;1;2017;11 875;V;1;2017;10 413;V;2;2017
17005240;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2017;0;NRA;1;2021;11.5;V;1;2017;10;V;1;2017;5.25;NV;2;2021;13.1;V;1;2017;10.8;V;1;2017;0;NRA;1;2021;10;V;1;2017;13.1;V;1;2017;10.75;V;1;2017;9 625;NV;2;2021
17005366;8.5;AC;2;2017;9;AC;2;2017;7.65;AC;2;2017;7;AC;2;2017;16 375;V;1;2017;12 875;V;1;2017;10 233;V;2;2017;11.1;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14 625;V;1;2017;4 288;NV;2;2021
17005380;0;NRA;1;2021;10.1;V;1;2017;0;NRA;1;2021;14;V;1;2018;12.75;V;1;2017;11 375;V;1;2017;8 038;NV;2;2021;0;NRA;1;2021;10.15;V;1;2017;0;NRA;1;2021;12;V;1;2018;0;NRA;1;2021;12 375;V;1;2017;5 754;NV;2;2021
