COD_ETU;Note : TLMP3104;Résultat : TLMP3104;Session : TLMP3104;Année : TLMP3104;Note : TLMP3204;Résultat : TLMP3204;Session : TLMP3204;Année : TLMP3204;Note : TLMP3304;Résultat : TLMP3304;Session : TLMP3304;Année : TLMP3304;Note : TLMP3404;Résultat : TLMP3404;Session : TLMP3404;Année : TLMP3404;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Note : TLMP3604;Résultat : TLMP3604;Session : TLMP3604;Année : TLMP3604;Note : TLMP3004;Résultat : TLMP3004;Session : TLMP3004;Année : TLMP3004;Note : TLMP4104;Résultat : TLMP4104;Session : TLMP4104;Année : TLMP4104;Note : TLMP4204;Résultat : TLMP4204;Session : TLMP4204;Année : TLMP4204;Note : TLMP4304;Résultat : TLMP4304;Session : TLMP4304;Année : TLMP4304;Note : TLMP4404;Résultat : TLMP4404;Session : TLMP4404;Année : TLMP4404;Note : TLMP4504;Résultat : TLMP4504;Session : TLMP4504;Année : TLMP4504;Note : TLMP4604;Résultat : TLMP4604;Session : TLMP4604;Année : TLMP4604;Note : TLMP4004;Résultat : TLMP4004;Session : TLMP4004;Année : TLMP4004
12012705;10;V;2;2014;11;V;1;2013;;;;;11;V;2;2013;14.4;V;1;2012;;;;;10;V;2;2014;.67;NV;2;2021;10;V;2;2019;10;V;2;2019;10;V;2;2019;8;AC;2;2014;8;AC;2;2014;7 778;NV;2;2021
14006708;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;3 333;NV;2;2021;9;AC;2;2019;10;V;2;2019;16;V;1;2019;9;AC;2;2019;10;V;2;2019;10;V;2;2019;10 667;V;2;2019
15000272;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.85;V;1;2018;11;V;1;2018;5 642;NV;2;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;11 275;V;1;2017;0;NRA;1;2021;;;1;2021
15000339;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12 625;V;1;2017;10.8;V;1;2017;15;V;1;2016;6 404;NV;2;2021;0;NRA;1;2021;10;V;2;2016;0;NRA;1;2021;0;NRA;1;2021;15.95;V;1;2016;0;NRA;1;2021;4 325;NV;2;2021
15001042;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;14.5;V;1;2018;4 083;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
15001093;7.75;AC;2;2016;10;V;1;2016;9.2;AC;2;2016;10;V;2;2016;9.05;AC;2;2016;14;V;1;2016;10;V;2;2016;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;16 875;V;1;2016;0;NRA;1;2021;2 813;NV;2;2021
15002395;0;NRA;1;2021;;;;;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;13.05;V;1;2016;0;NRA;1;2021;;;1;2021
15002547;0;NRA;1;2021;0;NRA;1;2021;10.1;V;1;2017;10;V;2;2017;0;NRA;1;2021;11 375;V;1;2017;5 246;NV;2;2021;0;NRA;1;2021;10.25;V;1;2017;10;V;2;2017;0;NRA;1;2021;13.2;V;1;2016;0;NRA;1;2021;5 575;NV;2;2021
15003217;0;NRA;1;2021;0;NRA;1;2021;11.5;V;1;2020;0;NRA;1;2021;10;V;1;2017;12.25;V;1;2017;5 625;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
15003319;12.11;V;1;2018;10;V;2;2019;10.1;V;1;2019;10;V;2;2017;10;V;1;2018;13.5;V;1;2016;10 952;V;2;2019;10;V;2;2019;10.4;V;1;2019;13;V;1;2019;14.5;V;1;2021;13.14;V;1;2019;10;VAR;2;2021;11.84;V;2;2021
15005628;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2016;0;NRA;1;2021;15.75;V;1;2016;5 958;NV;2;2021;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;10;V;2;2019;5;NV;2;2021
15006442;12;V;1;2016;7.9;AC;2;2018;9.3;AC;2;2018;15.25;V;1;2016;7.4;AC;2;2018;10;V;2;2016;10 308;V;2;2018;10;V;2;2018;11.7;V;1;2018;10;VAR;2;2020;13.45;V;1;2017;12 125;V;1;2017;.25;NV;2;2021;9 588;NV;2;2021
16000511;10;V;2;2020;6;NV;2;2021;6.5;NV;2;2021;2.5;NV;2;2021;6;NV;2;2021;10;V;2;2019;6 833;NV;2;2021;2;NV;2;2021;7;NV;2;2021;11;V;1;2019;10;V;2;2019;14.2;V;1;2019;10;V;1;2019;9 033;NV;2;2021
16000767;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15.5;V;1;2017;0;NRA;1;2021;11;V;1;2017;4 417;NV;2;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
16000914;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 667;NV;2;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;13.25;V;1;2018;0;NRA;1;2021;3 875;NV;2;2021
16001976;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.5;V;1;2017;0;NRA;1;2021;11;V;1;2017;3 917;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
16004528;10;V;1;2020;0;NRA;1;2021;10;V;1;2021;7;NV;2;2021;0;NRA;1;2021;13;V;1;2019;6 667;NV;2;2021;3;NV;2;2021;14.4;V;1;2019;13;V;1;2019;0;NRA;1;2021;14;V;1;2019;10;V;1;2019;9 067;NV;2;2021
16007485;11 245;V;1;2018;10;V;2;2018;10.8;V;1;2018;10;V;2;2018;10;V;2;2017;13.75;V;1;2017;10 966;V;2;2018;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10;V;1;2018;11.7;V;1;2018;13;V;1;2018;7.45;NV;2;2021
16008484;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.25;V;1;2018;2 042;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15.1;V;1;2017;0;NRA;1;2021;2 517;NV;2;2021
17003807;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11.5;V;1;2018;;;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
17004940;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14.5;V;1;2018;2 417;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
