COD_ETU;Note : TLGE1104;Résultat : TLGE1104;Session : TLGE1104;Année : TLGE1104;Note : TLGE1204;Résultat : TLGE1204;Session : TLGE1204;Année : TLGE1204;Note : TLGE1304;Résultat : TLGE1304;Session : TLGE1304;Année : TLGE1304;Note : TLGE1404;Résultat : TLGE1404;Session : TLGE1404;Année : TLGE1404;Note : TLGE1504;Résultat : TLGE1504;Session : TLGE1504;Année : TLGE1504;Note : TLGE1604;Résultat : TLGE1604;Session : TLGE1604;Année : TLGE1604;Note : TLGE1004;Résultat : TLGE1004;Session : TLGE1004;Année : TLGE1004;Note : TLGE2104;Résultat : TLGE2104;Session : TLGE2104;Année : TLGE2104;Note : TLGE2204;Résultat : TLGE2204;Session : TLGE2204;Année : TLGE2204;Note : TLGE2304;Résultat : TLGE2304;Session : TLGE2304;Année : TLGE2304;Note : TLGE2404;Résultat : TLGE2404;Session : TLGE2404;Année : TLGE2404;Note : TLGE2504;Résultat : TLGE2504;Session : TLGE2504;Année : TLGE2504;Note : TLGE2604;Résultat : TLGE2604;Session : TLGE2604;Année : TLGE2604;Note : TLGE2004;Résultat : TLGE2004;Session : TLGE2004;Année : TLGE2004
15005614;2;NV;2;2021;10;V;2;2018;10;V;1;2015;0;NRA;1;2021;10;V;1;2015;10;V;1;2015;7;NV;2;2021;10;V;2;2015;10;V;2;2015;0;NRA;1;2021;0;NRA;1;2021;10 543;V;1;2015;12.5;V;1;2015;7 174;NV;2;2021
16000747;2;NV;2;2021;10;V;2;2017;0;NRA;1;2021;11.5;V;1;2017;13.75;V;1;2017;12 375;V;1;2016;8 271;NV;2;2021;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;13 625;V;1;2016;5 604;NV;2;2021
16000792;2.5;NV;2;2021;10.6;V;1;2016;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2016;3.85;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
16001542;9;AC;2;2017;10.2;V;1;2017;10;V;2;2017;13.7;V;1;2017;15;V;1;2017;12;V;1;2016;11.65;V;2;2019;0;NRA;1;2021;10.15;V;1;2017;0;NRA;1;2021;10.15;V;1;2018;0;NRA;1;2021;12.75;V;1;2016;5 508;NV;2;2021
16001637;2;NV;2;2021;10;V;2;2018;10;V;2;2018;10;V;2;2017;10;V;2;2018;10;V;2;2016;8 667;NV;2;2021;10;V;2;2018;10;V;2;2016;20;V;1;2019;10;V;2;2018;12;V;1;2019;10;V;1;2020;12;V;1;2020
16001824;2;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;13;V;1;2016;4 167;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14;V;1;2016;2 333;NV;2;2021
16001861;11 598;V;1;2019;13.3;V;1;2016;11.8;V;1;2019;10;V;2;2016;10;V;1;2018;10;V;2;2016;11 116;V;1;2019;10;V;2;2018;10;V;2;2018;10;V;1;2021;10;V;2;2017;10;V;2;2016;10;V;2;2018;10;V;1;2021
16005460;2.35;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2016;11.5;V;1;2016;3 975;NV;2;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;13.25;V;1;2016;3 875;NV;2;2021
16005549;2 475;NV;2;2021;0;NRA;1;2021;10.35;V;1;2016;12.8;V;1;2017;13.5;V;1;2016;15;V;1;2016;9 021;NV;2;2021;10;V;2;2017;10.69;V;1;2016;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;16.5;V;1;2016;7 865;NV;2;2021
16005932;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;10.75;V;1;2016;3 417;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11;V;1;2017;1 833;NV;2;2021
16006053;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2020;10;V;2;2017;13;V;1;2016;5.5;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14.25;V;1;2016;2 375;NV;2;2021
17005056;2.85;NV;2;2021;0;NRA;1;2021;11;V;1;2017;10.1;V;1;2017;10.5;V;1;2017;15.25;V;1;2017;8 283;NV;2;2021;0;NRA;1;2021;10 075;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 679;NV;2;2021
17005537;7;AC;2;2018;15.5;V;1;2018;12.4;V;1;2018;10;V;2;2018;10;V;2;2018;12.25;V;1;2018;11 192;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005988;2;NV;2;2021;15.25;V;1;2018;0;NRA;1;2021;10;V;1;2018;12;V;1;2017;10;V;2;2018;8 208;NV;2;2021;12.5;V;1;2019;12;V;1;2019;10;V;1;2019;19;V;1;2019;16;V;1;2019;12;V;1;2019;13 583;V;1;2019
17006004;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2019;10.1;V;1;2019;12;V;1;2017;5.35;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2019;11;V;1;2019;13;V;1;2019;14;V;1;2019;8;NV;2;2021
17006073;11 225;V;1;2018;7;AC;2;2018;10;V;2;2017;11.4;V;1;2017;13;V;1;2017;13.25;V;1;2017;10 979;V;2;2019;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.75;V;1;2017;3 792;NV;2;2021
17006172;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;14.1;V;1;2017;10;V;2;2017;14.5;V;1;2017;8.1;NV;2;2021;0;NRA;1;2021;10.15;V;1;2017;0;NRA;1;2021;10;V;2;2017;10;V;2;2017;14;V;1;2017;7 358;NV;2;2021
17006182;8.75;AC;2;2017;10;V;2;2017;10;V;1;2017;11;V;1;2017;10;V;2;2017;12.25;V;1;2017;10 333;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10.75;V;1;2017;1 792;NV;2;2021
17006187;5;NV;2;2021;4;NV;2;2021;5;NV;2;2021;12.2;V;1;2017;10;V;2;2017;10;V;1;2017;7.7;NV;2;2021;13.5;V;1;2019;10;V;2;2017;18;V;1;2019;11;V;1;2019;12;V;1;2019;14;V;1;2018;13 083;V;1;2019
17007141;14 669;V;1;2020;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14;V;1;2020;12;V;1;2020;6 778;NV;2;2021;15.25;V;1;2020;0;NRA;1;2021;18;V;1;2019;14;V;1;2019;0;NRA;1;2021;10;V;2;2019;9 542;NV;2;2021
17007653;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;10;V;2;2017;11.75;V;1;2017;5 292;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;1 667;NV;2;2021
17011867;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;10.5;V;1;2017;10;V;2;2017;16;V;1;2017;7.75;NV;2;2021;11.9;V;1;2017;15 825;V;1;2017;10.95;V;1;2017;13.6;V;1;2017;14 115;V;1;2017;17;V;1;2017;13 898;V;1;2019
18001924;2;NV;2;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;10 125;V;1;2018;13.75;V;1;2018;7 646;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;16;V;1;2021;2 667;NV;2;2021
18002571;2;NV;2;2021;10;V;2;2018;1;NV;2;2021;10;V;2;2018;10.5;V;1;2020;15.5;V;1;2018;8 167;NV;2;2021;0;NRA;1;2021;12;V;1;2019;0;NRA;1;2021;10;V;1;2019;10;V;2;2019;11.25;V;1;2018;7 208;NV;2;2021
18002573;3 648;NV;2;2021;10;V;2;2021;7.5;NV;2;2021;10;V;2;2019;10;V;2;2018;13;V;1;2018;9 025;NV;2;2021;12.5;V;1;2019;20;V;1;2019;10;V;1;2019;10;V;1;2019;13;V;1;2019;11;V;1;2018;12.75;V;1;2019
18002636;8.75;AC;2;2018;10;V;2;2018;10.6;V;1;2018;10;V;2;2018;11;V;1;2018;10;V;2;2018;10 058;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;1 667;NV;2;2021
18002639;2;NV;2;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10 375;V;1;2018;11.5;V;1;2018;5 646;NV;2;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.25;V;1;2018;3 708;NV;2;2021
18002645;2.5;NV;2;2021;10;V;2;2020;10;V;1;2019;10;V;1;2019;10;V;2;2020;10;V;2;2019;8.75;NV;2;2021;13;V;1;2019;10;V;1;2019;14;V;1;2019;12;V;1;2019;15;V;1;2019;12;V;1;2019;12 667;V;1;2019
18003096;2;NV;2;2021;11.5;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;17 125;V;1;2018;11.5;V;1;2018;7 021;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;1 667;NV;2;2021
18003129;3 848;NV;2;2021;10;V;1;2021;10.6;V;1;2019;10;V;1;2020;10;V;1;2020;10;V;2;2019;9 075;NV;2;2021;10;V;2;2019;14.45;V;1;2020;2;NV;2;2021;11;V;1;2019;12;V;1;2019;10;V;2;2018;9 908;NV;2;2021
18003241;10;V;2;2020;11;V;1;2021;10;V;1;2021;17;V;1;2020;10;V;2;2018;12;V;1;2018;11 667;V;1;2021;10.25;V;1;2021;12;V;1;2019;10;V;2;2019;10;V;2;2020;10;V;2;2019;11.5;V;1;2018;10 625;V;1;2021
18003322;2.8;NV;2;2021;2;NV;2;2021;3;NV;2;2021;14.4;V;1;2019;10;V;2;2018;12.5;V;1;2019;7.45;NV;2;2021;10.5;V;1;2019;10;V;2;2019;0;NRA;1;2021;11;V;1;2019;10;V;2;2019;13;V;1;2018;9 083;NV;2;2021
18003444;10;V;2;2021;7;AC;2;2021;11.25;V;1;2021;14;V;1;2021;12.81;V;1;2021;12;V;1;2021;11 177;V;2;2021;10.75;V;1;2021;14.2;V;1;2021;13;V;1;2021;10;V;1;2021;8.3;AC;2;2021;11;V;1;2021;11 208;V;2;2021
18003527;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11;V;1;2018;1 833;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18003790;0;NRA;1;2021;8;NV;2;2021;.25;NV;2;2021;10;V;2;2020;12.5;V;1;2020;10.5;V;1;2019;6 875;NV;2;2021;10;V;2;2019;10;V;2;2019;10;V;2;2019;2;NV;2;2021;11;V;1;2019;10;V;2;2019;8 833;NV;2;2021
18003814;2.5;NV;2;2021;4;NV;2;2021;10;V;2;2021;13;V;1;2020;11;V;1;2020;10.5;V;1;2020;8.5;NV;2;2021;10;V;1;2019;10;V;1;2019;10;V;1;2019;7;NV;2;2021;10;V;2;2019;11;V;1;2019;9 667;NV;2;2021
18003828;3 904;NV;2;2021;1;NV;2;2021;2;NV;2;2021;6;NV;2;2021;13.78;V;1;2021;13.5;V;1;2019;6 697;NV;2;2021;10;V;2;2018;10;V;2;2018;12;V;1;2019;11;V;1;2019;16;V;1;2019;11.25;V;1;2018;11 708;V;1;2019
18003870;2;NV;2;2021;11.5;V;1;2018;0;NRA;1;2021;10;V;2;2018;11 875;V;1;2018;10.5;V;1;2018;7 646;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.5;V;1;2018;2 083;NV;2;2021
18004308;2;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;12.75;V;1;2018;4 125;NV;2;2021;10;V;2;2019;10;V;2;2019;16;V;1;2019;15;V;1;2019;11;V;1;2019;13;V;1;2018;12.5;V;2;2019
18004369;2 948;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.75;V;1;2018;11.5;V;1;2018;4 533;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18004501;2.25;NV;2;2021;10;V;1;2018;3.75;NV;2;2021;10;V;2;2020;10;V;2;2020;13.5;V;1;2018;8.25;NV;2;2021;0;NRA;1;2021;4.6;NV;2;2021;10;V;1;2019;1;NV;2;2021;10;V;2;2019;0;NRA;1;2021;4 267;NV;2;2021
18004724;2.05;NV;2;2021;7;NV;2;2021;2;NV;2;2021;11;V;1;2019;10;V;2;2018;13.5;V;1;2018;7 592;NV;2;2021;10;V;2;2019;10;V;2;2019;16;V;1;2019;11;V;1;2019;12;V;1;2019;11.75;V;1;2018;11 792;V;2;2019
18004771;10;V;2;2021;12;V;1;2020;12.4;V;1;2018;17.3;V;1;2018;11;V;1;2018;10;V;2;2018;12 117;V;2;2021;10;V;2;2021;18.8;V;1;2021;19;V;1;2021;10;V;2;2021;7;AC;2;2021;10;V;1;2020;12 467;V;2;2021
18005106;2.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12 875;V;1;2018;14;V;1;2018;4 854;NV;2;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;13.5;V;1;2018;3 917;NV;2;2021
18005112;4.75;NV;2;2021;10;V;2;2018;1.5;NV;2;2021;10;V;1;2019;10;V;1;2021;10;V;1;2018;7 708;NV;2;2021;15;V;1;2019;10;V;2;2018;18;V;1;2019;14;V;1;2019;12;V;1;2019;10;V;2;2018;13 167;V;1;2019
18005192;2.15;NV;2;2021;10;V;2;2020;0;NRA;1;2021;10;V;2;2020;10;V;2;2020;12.5;V;1;2018;7 442;NV;2;2021;10;V;2;2019;10;V;2;2018;10;V;2;2019;0;NRA;1;2021;10;V;1;2019;12.5;V;1;2018;8.75;NV;2;2021
18005226;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10.5;V;1;2018;1.75;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18005237;2;NV;2;2021;0;NRA;1;2021;10;V;2;2018;10.2;V;1;2018;0;NRA;1;2021;13;V;1;2018;5 867;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2018;1 667;NV;2;2021
18005239;10.1;V;1;2018;10;V;2;2018;8.5;AC;2;2018;10;V;2;2018;10;V;2;2018;11.5;V;1;2018;10 017;V;2;2019;10;V;2;2019;10;V;2;2020;.5;NV;2;2021;10;V;2;2019;10;V;2;2019;12;V;1;2018;8.75;NV;2;2021
18005240;10;V;2;2018;10;V;1;2018;10;V;2;2018;10.3;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;6 717;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18005242;10;V;2;2018;10;V;2;2018;8.5;AC;2;2018;14.4;V;1;2018;10;V;2;2018;14.5;V;1;2018;11 233;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;16;V;1;2018;2 667;NV;2;2021
