COD_ETU;Note : TLMP3104;Résultat : TLMP3104;Session : TLMP3104;Année : TLMP3104;Note : TLMP3204;Résultat : TLMP3204;Session : TLMP3204;Année : TLMP3204;Note : TLMP3304;Résultat : TLMP3304;Session : TLMP3304;Année : TLMP3304;Note : TLMP3404;Résultat : TLMP3404;Session : TLMP3404;Année : TLMP3404;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Note : TLMP3604;Résultat : TLMP3604;Session : TLMP3604;Année : TLMP3604;Note : TLMP3004;Résultat : TLMP3004;Session : TLMP3004;Année : TLMP3004;Note : TLMP4104;Résultat : TLMP4104;Session : TLMP4104;Année : TLMP4104;Note : TLMP4204;Résultat : TLMP4204;Session : TLMP4204;Année : TLMP4204;Note : TLMP4304;Résultat : TLMP4304;Session : TLMP4304;Année : TLMP4304;Note : TLMP4404;Résultat : TLMP4404;Session : TLMP4404;Année : TLMP4404;Note : TLMP4504;Résultat : TLMP4504;Session : TLMP4504;Année : TLMP4504;Note : TLMP4604;Résultat : TLMP4604;Session : TLMP4604;Année : TLMP4604;Note : TLMP4004;Résultat : TLMP4004;Session : TLMP4004;Année : TLMP4004
9004189;0;NRA;1;2015;;;;;.6;NRA;1;2015;10;V;2;2014;;;;;12.75;V;1;2014;;;1;2015;;;;;;;;;;;;;;;;;0;NRA;1;2015;;;;;;;1;2015
10006514;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;2;2013;0;NRA;1;2015;0;NRA;1;2015;1 667;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10008966;10;V;2;2015;10;V;2;2014;6;NV;2;2015;11;V;1;2013;2 975;NRA;1;2015;13.25;V;1;2014;8 871;NV;2;2015;8;AC;2;2015;10;V;2;2014;9.4;AC;2;2015;10;V;2;2015;13.1;V;1;2015;10;V;2;2015;10 083;V;2;2015
10009551;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10009715;;;;;;;;;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;3.4;NRA;1;2015;.567;NV;2;2015
10009876;0;NRA;1;2015;10;V;2;2013;2;NRA;1;2015;10;V;1;2012;10.93;V;1;2011;1.25;NRA;1;2015;5 697;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10009927;0;NRA;1;2015;10.25;V;1;2013;0;NRA;1;2015;10;V;2;2013;;;;;0;NRA;1;2015;;;1;2015;;;;;;;;;;;;;0;NRA;1;2015;0;NRA;1;2015;;;;;;;1;2015
11010123;;;;;10;V;2;2014;7;AC;2;2015;10.3;V;1;2013;10;V;2;2015;12;V;1;2014;10 006;V;2;2015;10;V;2;2015;10;V;2;2014;10;V;2;2015;10.75;V;1;2014;11.2;V;1;2014;9.5;AC;2;2015;10 242;V;2;2015
11010987;10;V;2;2014;15;V;1;2014;8.2;AC;2;2014;9;AC;2;2014;10;V;1;2013;11.75;V;1;2014;10 658;V;2;2014;10;V;2;2015;10;V;2;2014;8;AC;2;2015;10;V;2;2014;13 425;V;1;2014;11;V;1;2014;10 404;V;2;2015
11011128;10;V;1;2014;6;NV;2;2015;5.6;NV;2;2015;10;V;2;2013;0;NRA;1;2015;10.75;V;1;2014;7 058;NV;2;2015;3;NRA;1;2015;10;V;2;2014;1.2;NRA;1;2015;10;V;2;2015;14.2;V;1;2015;10.4;V;1;2015;8 133;NV;2;2015
11012350;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;12.5;V;1;2013;10;V;2;2013;;;;;;;1;2015;;;;;;;;;;;;;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;;;1;2015
11012739;10.9;V;1;2014;8.5;AC;2;2015;8.5;AC;2;2015;10.5;V;1;2013;8.1;AC;2;2013;13.5;V;1;2014;10;V;2;2015;10 025;V;1;2015;10;V;2;2014;10;V;1;2015;14.75;V;1;2015;11.65;V;1;2014;10;V;2;2015;11 071;V;2;2015
11013552;0;NRA;1;2015;10;V;2;2015;3.7;NRA;1;2015;10;V;2;2013;3 775;NRA;1;2015;12;V;1;2014;6 579;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;4.05;NRA;1;2015;1.5;NRA;1;2015;;;;;;;1;2015
11013716;10;V;2;2014;13.25;V;1;2014;10;V;2;2014;10;V;2;2013;10;V;1;2011;11;V;1;2014;10 708;V;2;2014;9;AC;2;2015;10;V;2;2014;7.4;AC;2;2015;10;V;2;2014;14.8;V;1;2015;10;V;2;2014;10.2;V;2;2015
11013765;0;NRA;1;2015;;;;;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;1;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;0;NRA;1;2015;0;NRA;1;2015;;;;;;;1;2015
