COD_ETU;Note : TLGE1104;Résultat : TLGE1104;Session : TLGE1104;Année : TLGE1104;Note : TLGE1204;Résultat : TLGE1204;Session : TLGE1204;Année : TLGE1204;Note : TLGE1304;Résultat : TLGE1304;Session : TLGE1304;Année : TLGE1304;Note : TLGE1404;Résultat : TLGE1404;Session : TLGE1404;Année : TLGE1404;Note : TLGE1504;Résultat : TLGE1504;Session : TLGE1504;Année : TLGE1504;Note : TLGE1604;Résultat : TLGE1604;Session : TLGE1604;Année : TLGE1604;Note : TLGE1004;Résultat : TLGE1004;Session : TLGE1004;Année : TLGE1004;Note : TLGE2104;Résultat : TLGE2104;Session : TLGE2104;Année : TLGE2104;Note : TLGE2204;Résultat : TLGE2204;Session : TLGE2204;Année : TLGE2204;Note : TLGE2304;Résultat : TLGE2304;Session : TLGE2304;Année : TLGE2304;Note : TLGE2404;Résultat : TLGE2404;Session : TLGE2404;Année : TLGE2404;Note : TLGE2504;Résultat : TLGE2504;Session : TLGE2504;Année : TLGE2504;Note : TLGE2604;Résultat : TLGE2604;Session : TLGE2604;Année : TLGE2604;Note : TLGE2004;Résultat : TLGE2004;Session : TLGE2004;Année : TLGE2004
10010055;10;V;1;2012;10;V;1;2012;10;V;1;2013;13;V;1;2011;10;V;1;2010;10;V;1;2010;10.75;V;1;2012;10;V;2;2013;10;V;2;2013;10;V;1;2013;13;V;1;2011;5;NV;2;2014;11.1;V;1;2010;9.85;NV;2;2014
10048488;7;AC;2;2013;7;AC;2;2013;;;;;16;V;1;2011;10;V;1;2011;10;V;1;2011;10.75;V;2;2013;10;V;1;2012;10;V;1;2012;1.75;NRA;1;2014;16;V;1;2011;10;V;2;2014;11.75;V;1;2012;9 917;NV;2;2014
10048648;7.5;AC;1;2012;7.5;AC;1;2012;;;;;13;V;1;2011;12.48;V;1;2012;11.7;V;1;2011;11.17;V;1;2012;10;V;2;2014;6.4;NV;2;2014;4;NRA;1;2014;13;V;1;2011;10;V;2;2013;10.5;V;1;2011;8 983;NV;2;2014
10048680;7;AC;2;2013;7;AC;2;2013;;;;;13;V;1;2011;10;V;1;2012;10;V;1;2011;10;V;2;2013;10;V;2;2013;10;V;2;2013;7.25;AC;2;2014;13;V;1;2011;10;V;2;2014;10;V;1;2011;10 042;V;2;2014
10048683;7;AC;2;2013;7;AC;2;2013;;;;;10;V;1;2011;12.6;V;1;2011;10.4;V;1;2011;10;V;2;2013;10;V;1;2013;10;V;1;2013;3.25;NRA;1;2014;10;V;1;2011;10.04;V;1;2012;10;V;1;2011;8 882;NV;2;2014
10048707;7;AC;2;2013;7;AC;2;2013;;;;;10;V;1;2011;12.9;V;1;2012;10.1;V;1;2011;10;V;2;2013;5;NV;2;2014;8;NV;2;2014;2;NRA;1;2014;10;V;1;2011;10;V;2;2014;12;V;1;2014;7 833;NV;2;2014
10048722;8.12;AC;2;2013;8.12;AC;2;2013;;;;;10;V;1;2011;11.88;V;1;2012;10;V;1;2011;10;V;2;2013;5;NV;2;2014;3.6;NRA;1;2014;.5;NRA;1;2014;10;V;1;2011;10;V;2;2014;10;V;1;2011;6 517;NV;2;2014
10048752;10;V;2;2013;10;V;2;2013;;;;;10;V;1;2012;10;V;2;2013;10;V;1;2011;10;V;2;2013;10.05;V;1;2012;10.05;V;1;2012;5;NV;2;2014;10;V;1;2012;5;NV;2;2014;10;V;1;2011;8.35;NV;2;2014
10048754;10;V;2;2014;11.5;V;1;2014;10;V;1;2012;2.25;NRA;1;2014;10.43;V;1;2012;12.15;V;1;2011;9 388;NV;2;2014;10.6;V;1;2013;10.6;V;1;2013;10;V;1;2012;;;;;9.09;AC;2;2013;11.2;V;1;2012;10 223;V;2;2013
11011891;0;NV;1;2014;0;NV;1;2014;10;V;1;2011;0;NV;1;2014;10.25;V;1;2011;13.3;V;1;2012;5 592;NV;2;2014;10;V;1;2012;10;V;1;2012;10;V;1;2011;;;;;10;V;1;2012;15.6;V;1;2011;11.4;V;1;2012
11012531;7;AC;2;2013;7;AC;2;2013;;;;;15.6;V;1;2011;10.68;V;1;2011;11.25;V;1;2011;11 133;V;2;2013;10.1;V;1;2012;10.1;V;1;2012;2;NRA;1;2014;15.6;V;1;2011;4.25;NRA;1;2014;10.95;V;1;2011;8 833;NV;2;2014
11012544;7;AC;2;2013;7;AC;2;2013;;;;;10.5;V;1;2011;11.5;V;1;2011;11;V;1;2011;10;V;2;2013;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;10.5;V;1;2011;10;V;1;2012;10;V;1;2011;5 083;NV;2;2014
11012552;6.5;NV;2;2014;4.6;NV;1;2014;3.25;NV;1;2014;0;NV;1;2014;10.13;V;1;2011;13.1;V;1;2011;6 263;NV;2;2014;10;V;1;2012;10;V;1;2012;1.75;NRA;1;2014;3.5;NRA;1;2014;8.45;NV;2;2014;15 225;V;1;2011;8 154;NV;2;2014
11012941;9.5;AC;2;2014;8.5;AC;2;2014;10;V;1;2013;10;V;2;2013;12 025;V;1;2013;10.1;V;1;2012;10 021;V;2;2014;11.4;V;1;2014;9;AC;2;2014;10;V;1;2013;10;V;2;2013;10;V;2;2014;11.8;V;1;2012;10 367;V;2;2014
11013302;7 875;NV;2;2014;5.3;NV;2;2014;6.75;NV;2;2014;3.75;NV;1;2014;15.98;V;1;2012;10.1;V;1;2011;8 293;NV;2;2014;10;V;2;2013;10;V;2;2013;2.5;NRA;1;2014;7.3;NV;2;2014;5;NV;2;2014;10.05;V;1;2011;7 475;NV;2;2014
11013318;0;NV;1;2014;0;NV;1;2014;10;V;1;2011;0;NV;1;2014;10.5;V;1;2011;0;NV;1;2014;3 417;NV;2;2014;0;NRA;1;2014;0;NRA;1;2014;10;V;1;2011;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;1 667;NV;2;2014
11013346;8.37;AC;1;2012;8.37;AC;1;2012;10;V;2;2013;12.5;V;1;2011;11;V;1;2011;10.8;V;1;2011;10 668;V;1;2012;11.6;V;1;2013;11.6;V;1;2013;10;V;2;2013;12.5;V;1;2011;5;NV;2;2014;11.95;V;1;2011;10 442;NV;2;2014
