COD_ETU;Note : TLBC2104;Résultat : TLBC2104;Session : TLBC2104;Année : TLBC2104;Note : TLBC2204;Résultat : TLBC2204;Session : TLBC2204;Année : TLBC2204;Note : TLBC2304;Résultat : TLBC2304;Session : TLBC2304;Année : TLBC2304;Note : TLBC2404;Résultat : TLBC2404;Session : TLBC2404;Année : TLBC2404;Note : TLBC2504;Résultat : TLBC2504;Session : TLBC2504;Année : TLBC2504;Note : TLBC2604;Résultat : TLBC2604;Session : TLBC2604;Année : TLBC2604;Note : TLBC2004;Résultat : TLBC2004;Session : TLBC2004;Année : TLBC2004;Note : TLBC1104;Résultat : TLBC1104;Session : TLBC1104;Année : TLBC1104;Note : TLBC1204;Résultat : TLBC1204;Session : TLBC1204;Année : TLBC1204;Note : TLBC1304;Résultat : TLBC1304;Session : TLBC1304;Année : TLBC1304;Note : TLBC1404;Résultat : TLBC1404;Session : TLBC1404;Année : TLBC1404;Note : TLBC1504;Résultat : TLBC1504;Session : TLBC1504;Année : TLBC1504;Note : TLBC1604;Résultat : TLBC1604;Session : TLBC1604;Année : TLBC1604;Note : TLBC1004;Résultat : TLBC1004;Session : TLBC1004;Année : TLBC1004
15000165;10;V;2;2016;10;V;2;2015;0;NRA;1;2021;12.6;V;1;2015;0;NRA;1;2021;10;V;1;2015;7.1;NV;2;2021;10.1;V;1;2015;9;AC;2;2016;13;V;1;2015;7.9;AC;2;2016;10;V;2;2015;10;V;2;2015;10;V;2;2016
15000255;10;V;2;2016;0;NRA;1;2021;10;V;2;2018;10;V;2;2019;10;V;1;2019;11.5;V;1;2015;8 583;NV;2;2021;10;V;2;2016;10;V;1;2016;11.25;V;1;2017;5.25;NV;2;2021;2.5;NV;2;2021;13.25;V;1;2015;8 708;NV;2;2021
15001005;13;V;1;2015;10;V;1;2015;12;V;1;2019;13.15;V;1;2017;20;V;1;2019;10;V;2;2015;13 025;V;1;2019;10;V;2;2019;10.1;V;1;2016;10;V;2;2018;7 475;NV;2;2021;10.9;V;1;2017;10;V;2;2016;9 746;NV;2;2021
15005062;10;V;2;2015;11;V;1;2015;12.2;V;1;2017;13.2;V;1;2016;0;NRA;1;2021;10;V;1;2015;9.4;NV;2;2021;10;V;2;2015;10;V;1;2016;10;V;2;2016;0;NRA;1;2021;10;V;2;2016;10;V;2;2015;8 333;NV;2;2021
15005732;10;V;2;2015;11;V;1;2015;0;NRA;1;2021;10;V;2;2015;0;NRA;1;2021;10;V;2;2015;6 833;NV;2;2021;10;V;2;2015;10;V;2;2015;8;AC;2;2015;10;V;2;2015;7;AC;2;2015;15.25;V;1;2015;10 042;V;2;2015
16000840;10;V;2;2016;13.1;V;1;2016;13.8;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;12.5;V;1;2016;8 233;NV;2;2021;14.46;V;1;2016;15.2;V;1;2016;10.2;V;1;2016;0;NRA;1;2021;0;NRA;1;2021;15;V;1;2016;9 143;NV;2;2021
17004303;10.8;V;1;2017;10;V;2;2017;0;NRA;1;2021;10.3;V;1;2017;0;NRA;1;2021;10.5;V;1;2017;6 933;NV;2;2021;11.25;V;1;2017;10;V;2;2017;13.86;V;1;2017;7 225;AC;2;2017;11.8;V;1;2017;11.5;V;1;2017;10 939;V;2;2017
17004847;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;14.25;V;1;2017;16.3;V;1;2017;17;V;1;2017;13 663;V;1;2017;16.8;V;1;2017;13;V;1;2017;15 169;V;1;2017
17004850;10.6;V;1;2017;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;16;V;1;2017;6.1;NV;2;2021;14.3;V;1;2017;11.2;V;1;2017;15 725;V;1;2017;8 975;AC;2;2017;12.25;V;1;2017;16;V;1;2017;13 075;V;2;2017
17005196;10;V;2;2017;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10.5;V;1;2017;5 083;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;11.41;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;13;V;1;2017;4 068;NV;2;2021
17005294;10.7;V;1;2017;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2017;5 117;NV;2;2021;14.25;V;1;2017;10.55;V;1;2017;13.66;V;1;2017;7;AC;2;2017;10.6;V;1;2017;10.5;V;1;2017;11 093;V;2;2017
17005433;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;1 667;NV;2;2021;10.1;V;1;2017;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;10;V;2;2017;10;V;1;2017;6 683;NV;2;2021
17005491;10;V;2;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14.5;V;1;2017;4 083;NV;2;2021;8.55;AC;2;2017;10;V;2;2017;13.25;V;1;2017;7;AC;2;2017;11.9;V;1;2017;15;V;1;2017;10.95;V;2;2017
17005624;0;NRA;1;2021;0;NRA;1;2021;13.5;V;1;2019;14;V;1;2019;16;V;1;2019;10;V;2;2017;8 917;NV;2;2021;10;V;2;2017;3;NV;2;2021;4.8;NV;2;2021;4 763;NV;2;2021;10;V;1;2018;10;V;1;2017;7 094;NV;2;2021
17005722;10.4;V;1;2017;10;V;2;2017;10;V;1;2019;10;V;2;2019;3.5;NV;2;2021;10;V;2;2017;8 983;NV;2;2021;10;V;2;2017;10;V;2;2017;12.23;V;1;2017;7;AC;2;2017;10;V;2;2017;11.5;V;1;2017;10 122;V;2;2017
17005882;10;V;2;2017;14;V;1;2019;10;V;1;2019;11;V;1;2018;1;NV;2;2021;0;NRA;1;2021;7 667;NV;2;2021;5.75;NV;2;2021;10;V;2;2021;10;V;2;2018;5.04;NV;2;2021;10;V;2;2018;0;NRA;1;2021;6 798;NV;2;2021
