COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
15003060;1.75;NRA;1;2015;2.4;NRA;1;2015;0;NRA;1;2015;4.1;NRA;1;2015;11.5;V;1;2015;14.5;V;1;2015;5 708;NV;2;2015;15.2;V;1;2015;14;V;1;2015;.6;NRA;1;2015;10;V;2;2015;15.55;V;1;2015;15.75;V;1;2015;11.85;NV;2;2015
15003206;7.2;AC;2;2015;10;V;2;2015;7;AC;2;2015;10.4;V;1;2015;14.9;V;1;2015;13.5;V;1;2015;10.5;V;2;2015;15.2;V;1;2015;8;AC;2;2015;7;AC;2;2015;10;V;2;2015;10 725;V;1;2015;10 875;V;1;2015;10.3;V;2;2015
15003207;8.75;NV;2;2015;9;NV;2;2015;7;NV;2;2015;10.3;V;1;2015;10.75;V;1;2015;10;V;2;2015;9.3;NV;2;2015;12.05;V;1;2015;10;V;2;2015;8;NV;2;2015;.8;NRA;1;2015;10 348;V;1;2015;10;V;1;2015;8 533;NV;2;2015
15003213;6.45;NV;2;2015;7;NV;2;2015;8;NV;2;2015;6.2;NV;2;2015;10.25;V;1;2015;12;V;1;2015;8 317;NV;2;2015;7;NV;2;2015;2;NRA;1;2015;.7;NRA;1;2015;1;NRA;1;2015;4 293;NRA;1;2015;12 875;V;1;2015;4 645;NV;2;2015
15003217;4.15;NRA;1;2015;6.2;NV;2;2015;2.1;NRA;1;2015;8.5;NV;2;2015;3.25;NRA;1;2015;10;V;2;2015;5.7;NV;2;2015;11.75;V;1;2015;2.8;NRA;1;2015;0;NRA;1;2015;.2;NRA;1;2015;8.45;NV;2;2015;0;NRA;1;2015;3 867;NV;2;2015
15003220;6.6;NV;2;2015;2.3;NRA;1;2015;2.7;NRA;1;2015;10;V;1;2015;10;V;1;2015;11 625;V;1;2015;7 204;NV;2;2015;11;V;1;2015;10;V;2;2015;.7;NRA;1;2015;10;V;2;2015;12.45;V;1;2015;11.75;V;1;2015;9 317;NV;2;2015
15003225;3.3;NRA;1;2015;2;NRA;1;2015;0;NRA;1;2015;3;NRA;1;2015;5.5;NV;2;2015;2;NRA;1;2015;2 633;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
15003319;3.5;NRA;1;2015;2;NRA;1;2015;5.8;NV;2;2015;1.8;NRA;1;2015;1.5;NRA;1;2015;10 125;V;1;2015;4 121;NV;2;2015;10;V;2;2015;3.4;NRA;1;2015;0;NRA;1;2015;2;NRA;1;2015;7.6;NV;2;2015;12 375;V;1;2015;5 896;NV;2;2015
15003528;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;.6;NRA;1;2015;6.25;NV;2;2015;10;V;2;2015;2 808;NV;2;2015;.3;NRA;1;2015;.8;NRA;1;2015;0;NRA;1;2015;.3;NRA;1;2015;2 275;NRA;1;2015;12;V;1;2015;2 613;NV;2;2015
15003731;2.4;NRA;1;2015;0;NRA;1;2015;4.3;NRA;1;2015;8.8;NV;2;2015;10;V;1;2015;12.25;V;1;2015;6 292;NV;2;2015;10.95;V;1;2015;5.5;NV;2;2015;0;NRA;1;2015;10;V;2;2015;10 988;V;1;2015;12.75;V;1;2015;8 365;NV;2;2015
