COD_ETU;Note : TLMP3104;Résultat : TLMP3104;Session : TLMP3104;Année : TLMP3104;Note : TLMP3204;Résultat : TLMP3204;Session : TLMP3204;Année : TLMP3204;Note : TLMP3304;Résultat : TLMP3304;Session : TLMP3304;Année : TLMP3304;Note : TLMP3404;Résultat : TLMP3404;Session : TLMP3404;Année : TLMP3404;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Note : TLMP3604;Résultat : TLMP3604;Session : TLMP3604;Année : TLMP3604;Note : TLMP3004;Résultat : TLMP3004;Session : TLMP3004;Année : TLMP3004;Note : TLMP4104;Résultat : TLMP4104;Session : TLMP4104;Année : TLMP4104;Note : TLMP4204;Résultat : TLMP4204;Session : TLMP4204;Année : TLMP4204;Note : TLMP4304;Résultat : TLMP4304;Session : TLMP4304;Année : TLMP4304;Note : TLMP4404;Résultat : TLMP4404;Session : TLMP4404;Année : TLMP4404;Note : TLMP4504;Résultat : TLMP4504;Session : TLMP4504;Année : TLMP4504;Note : TLMP4604;Résultat : TLMP4604;Session : TLMP4604;Année : TLMP4604;Note : TLMP4004;Résultat : TLMP4004;Session : TLMP4004;Année : TLMP4004
9004189;;;;;;;;;;;;;10;V;2;2014;;;;;12.75;V;1;2014;;;1;2014;;;;;;;1;2014;;;;;;;;;5.55;NV;2;2014;;;;;;;1;2014
10006514;0;NRA;1;2014;;;1;2014;0;NRA;1;2014;10;V;2;2013;0;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014
10008966;;;;;10;V;2;2014;3.9;NRA;1;2014;11;V;1;2013;;;;;13.25;V;1;2014;;;1;2014;2.8;NRA;1;2014;10;V;2;2014;3.1;NRA;1;2014;;;;;7.65;NV;2;2014;;;;;;;1;2014
10009551;0;NRA;1;2014;;;1;2014;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;1;2014
10009715;0;NRA;1;2014;;;1;2014;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;1;2014
10009883;10.65;V;1;2014;7.5;AC;2;2014;8;AC;2;2014;15 125;V;1;2014;10.16;V;1;2013;10.75;V;1;2014;10 364;V;2;2014;7;AC;2;2014;10;V;1;2014;8;AC;2;2014;15;V;1;2014;10;V;2;2013;10;V;2;2013;10;V;2;2014
10009927;;;;;10.25;V;1;2013;0;NRA;1;2014;10;V;2;2013;0;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;;;;;1;2014;.8;NRA;1;2014;;;1;2014;3.6;NRA;1;2014;;;;;;;1;2014
10048519;10;V;2;2014;11.5;V;1;2014;7;AC;2;2014;10;V;2;2013;14.13;V;1;2013;8.4;AC;2;2014;10 172;V;2;2014;10;V;2;2014;10;V;1;2014;7;AC;2;2014;7;AC;2;2014;13.05;V;1;2014;10;V;2;2014;9 508;AC;2;2014
11010123;10 736;RAT;1;2014;10;V;2;2014;4;NRA;1;2014;10.3;V;1;2013;8.5;NV;2;2014;12;V;1;2014;9 256;NV;2;2014;2.95;NRA;1;2014;10;V;2;2014;;;;;10.75;V;1;2014;11.2;V;1;2014;;;;;;;1;2014
11010608;;;;;;;;;;;;;10;V;1;2012;;;;;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;;;;;;;;;1;2014;;;;;;;1;2014
11010987;10;V;2;2014;15;V;1;2014;8.2;AC;2;2014;9;AC;2;2014;10;V;1;2013;11.75;V;1;2014;10 658;V;2;2014;;;;;10;V;2;2014;;;;;10;V;2;2014;13 425;V;1;2014;11;V;1;2014;;;1;2014
11011128;10;V;1;2014;8;NV;2;2014;4.1;NRA;1;2014;10;V;2;2013;6.6;NV;2;2014;10.75;V;1;2014;8 242;NV;2;2014;3.25;NRA;1;2014;10;V;2;2014;;;;;7.5;NV;2;2014;7.15;NV;2;2014;;;;;;;1;2014
11012350;3.1;NRA;1;2014;1.5;NRA;1;2014;2.6;NRA;1;2014;12.5;V;1;2013;10;V;2;2013;8.5;NV;2;2014;6 367;NV;2;2014;;;;;;;1;2014;;;;;;;1;2014;;;1;2014;;;1;2014;;;1;2014
11012739;10.9;V;1;2014;8;NV;2;2014;7;NV;2;2014;10.5;V;1;2013;8.1;AC;2;2013;13.5;V;1;2014;9 667;;2;2014;7;NV;2;2014;10;V;2;2014;3.2;NRA;1;2014;7 625;NV;2;2014;11.65;V;1;2014;6.45;NV;2;2014;7 654;NV;2;2014
11013552;;;;;5;NV;2;2014;.4;NRA;1;2014;10;V;2;2013;;;;;12;V;1;2014;;;1;2014;;;1;2014;;;1;2014;.4;NRA;1;2014;4.75;NRA;1;2014;;;1;2014;;;;;;;1;2014
11013716;10;V;2;2014;13.25;V;1;2014;10;V;2;2014;10;V;2;2013;10;V;1;2011;11;V;1;2014;10 708;V;2;2014;5 025;NV;2;2014;10;V;2;2014;6;NV;2;2014;10;V;2;2014;7;NV;2;2014;10;V;2;2014;8 004;NV;2;2014
11013749;10;V;2;2014;10;V;2;2014;8.3;AC;2;2014;10;V;1;2013;13.6;V;1;2012;14;V;1;2014;10 983;V;2;2014;10;V;2;2014;11;V;1;2014;10;V;2;2014;10;V;2;2014;15 075;V;1;2014;13.8;V;1;2014;11 646;V;2;2014
11013765;0;NRA;1;2014;;;1;2014;0;NRA;1;2014;0;NRA;1;2014;;;1;;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;;;;;1;2014;;;1;2014;;;;;;;1;2014
11013788;;;;;;;;;;;;;10.75;V;1;2013;10.01;;1;2014;14.5;V;1;2014;;;1;2014;;;;;;;1;2014;;;;;12;V;1;2014;3.3;NRA;1;2014;;;;;;;1;2014
11013800;7;NV;2;2014;4;NRA;1;2014;3;NRA;1;2014;6.25;NV;2;2014;10;V;1;2012;14;V;1;2014;7 375;NV;2;2014;;;1;2014;0;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014
11013929;;;1;2014;2;NRA;1;2014;.4;NRA;1;2014;10;V;2;2013;9.4;AC;1;2013;8.5;NV;2;2014;;;1;2014;2 525;NRA;1;2014;2;NRA;1;2014;2.9;NRA;1;2014;;;1;2014;10 975;V;1;2014;8.4;NV;2;2014;;;1;2014
11013944;11.1;V;1;2014;7;NV;2;2014;4.1;NRA;1;2014;10;V;2;2013;8.9;AC;1;2012;10;V;1;2014;8 517;NV;2;2014;5 525;NV;2;2014;4;NRA;1;2014;4;NRA;1;2014;8.25;NV;2;2014;5.9;NV;2;2014;10;V;1;2014;6 279;NV;2;2014
11013957;;;;;;;;;;;;;0;NRA;1;2014;;;;;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;;;;;;;;;1;2014;;;1;2014;;;1;2014
11013963;10.5;V;1;2014;10;V;1;2014;7;AC;2;2014;12.7;V;1;2012;7.13;AC;2;2014;13;V;1;2014;10 055;V;2;2014;;;;;;;1;2014;7;NV;2;2014;10;V;2;2014;5.01;NV;2;2014;;;;;;;1;2014
11014050;3.1;NRA;1;2014;;;1;2014;1;NRA;1;2014;10.5;V;1;2013;7.63;AC;1;2012;5.5;NV;2;2014;;;1;2014;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;1;2014
11014112;;;;;;;;;;;;;8.5;NV;2;2014;;;;;14.25;V;1;2014;;;1;2014;;;;;;;1;2014;;;;;;;;;3 675;NRA;1;2014;4;NRA;1;2014;;;1;2014
11015183;11 225;V;1;2013;11;V;1;2013;;;;;13.5;V;1;2013;10;V;1;2011;;;;;11 606;V;1;2013;7;AC;2;2014;12;V;1;2014;10;V;2;2014;12 875;V;1;2014;10.7;V;1;2013;10.7;V;1;2013;10 546;V;2;2014
11015203;10;V;2;2014;2;NRA;1;2014;.6;NRA;1;2014;12.5;V;1;2014;10;V;2;2013;10;V;2;2014;7 517;NV;2;2014;1.45;NRA;1;2014;3;NRA;1;2014;;;1;2014;;;;;7.75;NV;2;2014;9.1;NV;2;2014;;;1;2014
11015208;10;V;2;2014;3;NRA;1;2014;6.4;NV;2;2014;10;V;1;2013;12.27;V;1;2014;13.25;V;1;2014;9 153;;2;2014;2.45;NRA;1;2014;10;V;2;2014;3.4;NRA;1;2014;13.75;V;1;2014;15;V;1;2014;10;V;2;2014;9.1;NV;2;2014
11015302;1.6;NRA;1;2014;;;1;2014;1.6;NRA;1;2014;0;NRA;1;2014;1.8;NRA;1;2014;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;;;;;1;2014;;;;;;;;;;;1;2014
11015429;10.7;V;1;2014;9.25;AC;2;2014;8.5;AC;2;2014;12.15;V;1;2013;13.22;V;1;2013;10;V;1;2014;10 637;V;2;2014;7.15;AC;2;2014;10;V;2;2014;8.2;AC;2;2014;11.5;V;1;2014;14;V;1;2013;14;V;1;2013;10 808;V;2;2014
11015451;0;NRA;1;2014;7;NV;2;2014;4.4;NRA;1;2014;7.13;AC;2;2013;8.36;AC;1;2011;14;V;1;2014;6 815;NV;2;2014;;;1;2014;;;1;2014;1.4;NRA;1;2014;;;1;2014;;;1;2014;3.4;NRA;1;2014;;;1;2014
12005183;10.1;V;1;2014;11;V;1;2014;7.5;AC;2;2014;10.75;V;1;2013;13.08;V;1;2013;14.5;V;1;2014;11 155;V;2;2014;10;V;2;2014;10;V;2;2014;7.1;AC;2;2014;13.5;V;1;2014;10;V;1;2013;10;V;1;2013;10.1;V;2;2014
12005753;0;NRA;1;2014;;;1;2014;0;NRA;1;2014;0;NRA;1;2014;10.53;V;1;2012;0;NRA;1;2014;;;1;2014;;;1;2014;;;1;2014;;;;;;;1;2014;;;1;2014;0;NRA;1;2014;;;1;2014
