COD_ETU;Note : TLBC3204;Résultat : TLBC3204;Session : TLBC3204;Année : TLBC3204;Note : TLBC3504;Résultat : TLBC3504;Session : TLBC3504;Année : TLBC3504;Note : TLBC3104;Résultat : TLBC3104;Session : TLBC3104;Année : TLBC3104;Note : TLBC3404;Résultat : TLBC3404;Session : TLBC3404;Année : TLBC3404;Note : TLBC3304;Résultat : TLBC3304;Session : TLBC3304;Année : TLBC3304;Note : TLBC3604;Résultat : TLBC3604;Session : TLBC3604;Année : TLBC3604;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;Note : TLBC4604;Résultat : TLBC4604;Session : TLBC4604;Année : TLBC4604;Note : TLBC4104;Résultat : TLBC4104;Session : TLBC4104;Année : TLBC4104;Note : TLBC4304;Résultat : TLBC4304;Session : TLBC4304;Année : TLBC4304;Note : TLBC4404;Résultat : TLBC4404;Session : TLBC4404;Année : TLBC4404;Note : TLBC4504;Résultat : TLBC4504;Session : TLBC4504;Année : TLBC4504;Note : TLBC4204;Résultat : TLBC4204;Session : TLBC4204;Année : TLBC4204;Note : TLBC4004;Résultat : TLBC4004;Session : TLBC4004;Année : TLBC4004
9007198;;;1;2015;;;1;2015;0;;2;2015;0;NRA;1;2015;;;1;2015;;;1;2015;;;1;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2015
10009177;10.09;V;1;2010;4.25;NRA;1;2015;10;V;1;2011;4.5;NRA;1;2015;8.4;NV;2;2015;.4;NRA;1;2015;6 273;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10009488;10;V;2;2013;0;NRA;1;2015;11.8;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;3 633;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10048467;7.2;AC;1;2011;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;1.2;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;;;;;;;;;1;2015
10048490;7;AC;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;1 167;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;;;;;1;2015
10048665;8;AC;2;2013;10;V;2;2015;11.3;V;1;2014;7 875;AC;2;2015;12.3;V;1;2014;12.7;V;1;2015;10 363;V;2;2015;13;V;1;2014;10;V;2;2014;10;V;2;2014;11.25;V;1;2015;10.13;V;1;2014;10;V;2;2014;10.73;V;1;2015
10048675;7;AC;1;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;1 167;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;;;;;1;2015
10048740;7;AC;1;2013;6.5;NV;2;2015;7;NV;2;2015;4.25;NRA;1;2015;10 899;V;1;2013;2.3;NRA;1;2015;6 325;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
10048743;7;AC;1;2012;2 375;NRA;1;2015;12 938;V;1;2013;4 375;NRA;1;2015;3;NRA;1;2015;1.5;NRA;1;2015;5 198;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NV;2;2015
11010373;10;V;2;2013;2.75;NRA;1;2015;8.5;NV;2;2015;6 875;NV;2;2015;3.9;NRA;1;2015;1.5;NRA;1;2015;5 588;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;;;;;;;;;1;2015
11011713;10.7;V;1;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;1 783;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;;;;;;;;;;;;;0;NRA;1;2015;;;1;2015
11012566;7.5;AC;1;2012;10 375;V;1;2015;11 688;V;1;2013;11.25;V;1;2015;10;V;2;2014;10;V;2;2015;10 136;V;2;2015;12;V;1;2014;10;V;2;2014;10.55;V;1;2015;14.75;V;1;2015;11.38;V;1;2014;11 625;V;1;2015;11 718;V;1;2015
11012827;;;;;;;;;;;;;0;NRA;1;2015;;;;;;;;;;;1;2015;12.75;V;1;2015;11.4;V;1;2015;12.2;V;1;2015;15.5;V;1;2015;12;V;1;2015;8.5;AC;2;2015;12 058;V;2;2015
11013259;;;;;0;NRA;1;2015;;;;;;;;;;;;;;;;;;;1;2015;0;NRA;1;2015;;;;;;;;;;;;;;;;;0;NRA;1;2015;;;1;2015
11013282;7;AC;2;2013;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;11 375;V;1;2013;0;NRA;1;2015;3 063;NV;2;2015;0;NRA;1;2015;;;;;0;NRA;1;2015;;;;;;;;;;;;;;;1;2015
